code,naam,categorie,verwacht_bestand,commons_zoekurl,wikipedia_referentie
E001,Nooduitgang (links),Eerstehulp / veilige toestand,ISO_7010_E001.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E001&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E002,Nooduitgang (rechts),Eerstehulp / veilige toestand,ISO_7010_E002.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E002&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E003,Eerste hulp,Eerstehulp / veilige toestand,ISO_7010_E003.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E003&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E004,Noodtelefoon,Eerstehulp / veilige toestand,ISO_7010_E004.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E004&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E005,Richtingspijl (90°),Eerstehulp / veilige toestand,ISO_7010_E005.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E005&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E006,Richtingspijl (45°),Eerstehulp / veilige toestand,ISO_7010_E006.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E006&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E007,Verzamelpunt bij calamiteiten,Eerstehulp / veilige toestand,ISO_7010_E007.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E007&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E008,Breek om toegang te krijgen,Eerstehulp / veilige toestand,ISO_7010_E008.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E008&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E009,Dokter,Eerstehulp / veilige toestand,ISO_7010_E009.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E009&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E010,Automatische externe defibrillator,Eerstehulp / veilige toestand,ISO_7010_E010.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E010&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
