code,naam,categorie,bestand,bronpagina
F001,Blusapparaat,Brandbestrijding,afbeeldingen/F001.png,21
F002,Blusslang,Brandbestrijding,afbeeldingen/F002.png,21
F003,Brandladder,Brandbestrijding,afbeeldingen/F003.png,21
F004,Brandbestrĳdings- middelen,Brandbestrijding,afbeeldingen/F004.png,21
F005,Brandmelder,Brandbestrijding,afbeeldingen/F005.png,21
F006,Telefoon voor brandalarm,Brandbestrijding,afbeeldingen/F006.png,21
F007,"* le d o m n e e p o r a a d t e m m a r g o t cip - F t e h n a v eisr e v elëic ﬁf o n e e si m a r g o t cip ti D  * brandweerhelm dat vaker voorkomt in Frankrĳk. n e e t e m n e n n u k r a a m , n e m m a r g o t cip - O S I elëic ﬁf o n e e g n ĳ z R A n e R A n elĳ p e D  * Brandwerende deur",Brandbestrijding,afbeeldingen/F007.png,21
F008,Vaste blusbatterĳ,Brandbestrijding,afbeeldingen/F008.png,21
F009,Mobiele brandblusser,Brandbestrijding,afbeeldingen/F009.png,21
F010,Draagbare schuimblusser,Brandbestrijding,afbeeldingen/F010.png,21
F011,Waternevelblusser,Brandbestrijding,afbeeldingen/F011.png,21
F012,Vaste blusinstallatie,Brandbestrijding,afbeeldingen/F012.png,21
F013,Vaste brandblusﬂes,Brandbestrijding,afbeeldingen/F013.png,21
F014,Brandbestrĳdings- middelen F004B* Op afstand te activeren station,Brandbestrijding,afbeeldingen/F014.png,21
F015,Waterkanon,Brandbestrijding,afbeeldingen/F015.png,21
F016,Branddeken,Brandbestrijding,afbeeldingen/F016.png,21
E001,Nooduitgang (links) A0/,Evacuatie en redding,afbeeldingen/E001.png,23
E002,Richtingaanwĳzing 90° (rechts) A090* Nooduitgang (rechts),Evacuatie en redding,afbeeldingen/E002.png,23
E003,. Eerste hulp,Evacuatie en redding,afbeeldingen/E003.png,24
E004,Telefoon voor noodgevallen,Evacuatie en redding,afbeeldingen/E004.png,24
E007,/A90 Verzamelplaats bĳ evacuatie A270/,Evacuatie en redding,afbeeldingen/E007.png,23
E008,Breken om toegang te krĳgen,Evacuatie en redding,afbeeldingen/E008.png,24
E009,Arts,Evacuatie en redding,afbeeldingen/E009.png,24
E010,Evacuatievenster E016C* Automatische externe deﬁbrillator,Evacuatie en redding,afbeeldingen/E010.png,24
E011,Oogdouche,Evacuatie en redding,afbeeldingen/E011.png,24
E012,Veiligheidsdouche,Evacuatie en redding,afbeeldingen/E012.png,24
E013,Draagberrie,Evacuatie en redding,afbeeldingen/E013.png,24
E014,Detectiesysteem voor de aanwezigheid en oriënta- tie van kinderstoeltjes,Evacuatie en redding,afbeeldingen/E014.png,24
E015,Drinkwater,Evacuatie en redding,afbeeldingen/E015.png,24
E016,Noodvenster met vluchtladder (links),Evacuatie en redding,afbeeldingen/E016.png,24
E017,Evacuatievenster,Evacuatie en redding,afbeeldingen/E017.png,24
E018,Draai tegen wĳzerzin om te openen,Evacuatie en redding,afbeeldingen/E018.png,24
E019,Draai in wĳzerzin om te openen,Evacuatie en redding,afbeeldingen/E019.png,24
E020,Noodstop,Evacuatie en redding,afbeeldingen/E020.png,24
E021,Schuilplaats,Evacuatie en redding,afbeeldingen/E021.png,25
E022,Duw aan de linkerkant om deur te openen,Evacuatie en redding,afbeeldingen/E022.png,25
E023,Duw aan de rechterkant om deur te openen,Evacuatie en redding,afbeeldingen/E023.png,25
E024,Tĳdelĳke verzamelplaats voor evacuatie,Evacuatie en redding,afbeeldingen/E024.png,25
E025,Noodhamer,Evacuatie en redding,afbeeldingen/E025.png,25
E027,Medische noodtas,Evacuatie en redding,afbeeldingen/E027.png,25
E028,Beademingsapparaat,Evacuatie en redding,afbeeldingen/E028.png,25
E029,Ademhalingsapparaat voor noodevacuatie,Evacuatie en redding,afbeeldingen/E029.png,25
